name,abbreviation,month,as_of_date,pop
Virginia,VA,march,03/13/2020,29161
Virginia,VA,april,04/14/2020,28559
Virginia,VA,june,06/16/2020,28595
Virginia,VA,july,07/31/2020,26749
Virginia,VA,aug,08/31/2020,26190
Virginia,VA,sept,09/30/2020,25659
Virginia,VA,oct,10/31/2020,25156
Virginia,VA,nov,11/30/2020,24731
Virginia,VA,dec,12/31/2020,24235
Virginia,VA,jan_2021,01/31/2021,23811
Virginia,VA,feb_2021,02/28/2021,23644
Virginia,VA,march_2021,03/31/2021,23796
Virginia,VA,april_2021,04/30/2021,23897
Virginia,VA,may_2021,05/31/2021,23966
Washington,WA,march,03/31/2020,17263
Washington,WA,april,04/30/2020,16906
Washington,WA,june,06/30/2020,15837
Washington,WA,july,07/31/2020,15626
Washington,WA,aug,08/31/2020,15494
Washington,WA,sept,09/30/2020,15339
Washington,WA,oct,10/31/2020,15198
Washington,WA,nov,11/30/2020,15111
Washington,WA,dec,12/31/2020,14882
Washington,WA,jan_2021,01/31/2021,14660
Washington,WA,feb_2021,02/28/2021,14510
Washington,WA,march_2021,03/31/2021,14314
Washington,WA,april_2021,04/30/2021,14065
Washington,WA,may_2021,04/30/2021,14065
West Virginia,WV,march,03/15/2020,5952
West Virginia,WV,april,04/15/2020,5556
West Virginia,WV,june,06/15/2020,4898
West Virginia,WV,july,07/31/2020,4398
West Virginia,WV,aug,08/31/2020,4331
West Virginia,WV,sept,09/30/2020,4275
West Virginia,WV,oct,10/31/2020,4247
West Virginia,WV,nov,11/30/2020,4189
West Virginia,WV,dec,12/31/2020,3977
West Virginia,WV,jan_2021,01/31/2021,3987
West Virginia,WV,feb_2021,02/28/2021,3962
West Virginia,WV,march_2021,03/31/2021,4053
West Virginia,WV,april_2021,04/30/2021,4071
West Virginia,WV,may_2021,06/01/2021,4425
Wisconsin,WI,march,03/13/2020,23591
Wisconsin,WI,april,04/17/2020,22507
Wisconsin,WI,june,06/12/2020,21576
Wisconsin,WI,july,07/31/2020,21252
Wisconsin,WI,aug,09/04/2020,21136
Wisconsin,WI,sept,10/02/2020,21495
Wisconsin,WI,oct,10/30/2020,20796
Wisconsin,WI,nov,11/27/2020,20494
Wisconsin,WI,dec,01/01/2021,20033
Wisconsin,WI,jan_2021,01/29/2021,19783
Wisconsin,WI,feb_2021,02/26/2021,19513
Wisconsin,WI,march_2021,04/02/2021,19357
Wisconsin,WI,april_2021,04/30/2021,19301
Wisconsin,WI,may_2021,05/28/2021,19271
Wyoming,WY,march,03/15/2020,2156
Wyoming,WY,april,04/15/2020,2098
Wyoming,WY,june,06/16/2020,2001
Wyoming,WY,july,07/31/2020,1986
Wyoming,WY,aug,08/31/2020,1959
Wyoming,WY,sept,09/30/2020,1996
Wyoming,WY,oct,10/31/2020,2232
Wyoming,WY,nov,11/30/2020,2157
Wyoming,WY,dec,12/31/2020,2134
Wyoming,WY,jan_2021,01/31/2021,2133
Wyoming,WY,april_2021,01/31/2021,2133
Wyoming,WY,may_2021,01/31/2021,2133
Wyoming,WY,feb_2021,01/31/2021,2133
Wyoming,WY,march_2021,01/31/2021,2133
